id,certNum
0,68802adde35845d76eeb172ff8ea6825
1,d8e654984321f6aac312a897071191f0
2,1ef0e106653b871d429cfab0cd5ea70a
3,e6261711da404b34bf64a51322b948a8
4,bd8cc63024c7a1d4adb3d08f0f4d4827
5,0aa4e4d45dda77ac95312330194288ab
6,496651284d41f79f438c1bdb2455e396
7,6429c394f8a48816d33a603c241a649b
8,a780d3304e9194cd75bbefbc14f7448a
9,48b04141a59af51ac85eff121170dbc3
10,5c19603e3f367a447d0cb4390a523f28
11,33fdf452aa9cd145ba096c364a250ee8
12,319cca4fbb083c8edad5b4ba79a35f44
13,f4bf7aba69bdf4416b72e26b07b4f433
14,09123f2ed94dfd9b864721b648fb1126
15,39962316d77bde821809135990093b43
16,bbeb59fa2d6812ec1ed4719f34add059
17,caf61b631cbc475cac8a52f599a2bb8e
18,2d037e49d84c54d9a49f931d2ab9aeb4
19,d6c1be17a64ed67455d1ae32585fd319
20,5e042ebff7524bf7e8113e18a52a0c7f
21,5353b254cf59a3c68852b23cb99044b4
22,232a3bfd30ea9903b4e337304781a110
23,a545349cbcfc5db326e3805323563f5b
24,f47d826a7d0bf564d545aabbdc59b100
25,61da57b4bfdd0c37669933563942b54b
26,d43fa10d0fba10e4269965ed3f918f03
27,d1481df7a36986973817ab3437e5dccf
28,c35569e87960cc0ecc2d1c8360839b77
29,e559e014a77010cc7b46d8d5cc75ee58
